name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Patriot Viper Venom 64 GB,189.99,"5,6400","2,32",2.969,Black / White,10.0,32.0
G.Skill Trident Z5 RGB 32 GB,116.99,"5,6400","2,16",3.656,Black,10.0,32.0
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black / Silver,10.0,30.0
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",1.999,Black,10.0,16.0
Corsair Dominator Titanium 32 GB,180.99,"5,6000","2,16",5.656,White,10.0,30.0
Patriot Viper Steel 32 GB,59.99,"4,3200","2,16",1.875,Silver / Black,10.0,16.0
G.Skill Flare X5 64 GB,234.99,"5,6000","2,32",3.672,Black,9.333,28.0
Corsair Vengeance 16 GB,64.98,"5,5200","2,8",4.061,Black,15.385,40.0
G.Skill Ripjaws S5 64 GB,154.99,"5,6000","2,32",2.422,Black,12.0,36.0
Crucial CP2K64G56C46U5 128 GB,299.99,"5,5600","2,64",2.344,Black,16.429,46.0
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,White,10.0,18.0
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6000","2,16",2.75,Black,12.667,38.0
Patriot Viper Venom 32 GB,87.99,"5,6400","2,16",2.75,Black / White,10.0,32.0
G.Skill Flare X5 32 GB,127.99,"5,6000","2,16",4.0,Black,9.333,28.0
Crucial Pro 32 GB,81.99,"5,6400","2,16",2.562,Black,11.875,38.0
Corsair Vengeance RGB 128 GB,551.99,"5,5600","4,32",4.312,Black,14.286,40.0
Corsair Vengeance RGB Pro SL 32 GB,109.99,"4,3600","2,16",3.437,White / Black,10.0,18.0
Corsair Dominator Titanium 96 GB,424.99,"5,6600","2,48",4.427,Black,9.697,32.0
Corsair Vengeance 64 GB,229.99,"5,6400","2,32",3.594,Black / Gray,10.0,32.0
Kingston FURY Beast 16 GB,67.98,"5,6000","2,8",4.249,Black,10.0,30.0
TEAMGROUP T-Create Classic 32 GB,74.99,"5,5600","2,16",2.343,Black,16.429,46.0
Corsair Vengeance 32 GB,86.99,"5,6000","2,16",2.718,Black,12.0,36.0
Patriot Viper Elite 5 RGB 32 GB,102.99,"5,6000","2,16",3.218,White,10.0,30.0
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"5,6000","2,32",2.89,White,12.667,38.0
Corsair Vengeance RGB 64 GB,259.99,"5,6000","2,32",4.062,White / Silver,10.0,30.0
G.Skill Trident Z5 Royal 32 GB,154.99,"5,6400","2,16",4.843,White,9.375,30.0
Kingston FURY Beast 32 GB,106.63,"5,5600","2,16",3.332,Black,12.857,36.0
Corsair Vengeance RGB 32 GB,96.99,"5,5200","2,16",3.031,White,15.385,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"4,3200","2,16",2.063,Gray,10.0,16.0
G.Skill Ripjaws V 32 GB,89.99,"4,3600","2,16",2.812,Black,8.889,16.0
Lexar THOR 16 GB,,"4,3200","2,8",,Black,10.0,16.0
G.Skill Trident Z RGB 16 GB,54.99,"4,3600","2,8",3.437,Black,10.0,18.0
Kingston FURY Beast RGB 32 GB,141.19,"5,6000","2,16",4.412,White,10.0,30.0
Corsair Vengeance 128 GB,372.99,"5,6400","2,64",2.914,Black,13.125,42.0
Corsair Vengeance RGB 16 GB,67.98,"5,5200","2,8",4.249,Black / Gray,15.385,40.0
Crucial CT2K8G48C40U5 16 GB,41.99,"5,4800","2,8",2.624,Black,16.667,40.0
G.Skill Trident Z5 Neo 64 GB,204.99,"5,6000","2,32",3.203,Black / Silver,10.0,30.0
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"5,6000","2,16",2.499,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,147.99,"5,6000","2,16",4.625,Black,9.333,28.0
Silicon Power SP016GLLTU160N22 16 GB,16.95,"3,1600","2,8",1.059,Green,13.75,11.0
PNY XLR8 Gaming RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,139.99,"5,7200","2,16",4.375,Black,9.444,34.0
Kingston FURY Beast 8 GB,29.89,"4,3200","1,8",3.736,Black,10.0,16.0
G.Skill Trident Z5 Neo RGB 64 GB,,"5,6000","2,32",,Black,8.667,26.0
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",3.031,Black,15.385,40.0
TEAMGROUP T-Create Expert 32 GB,62.99,"4,3200","2,16",1.968,Gray,10.0,16.0
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"5,6400","2,16",2.656,Black,10.0,32.0
Corsair Dominator Titanium 96 GB,427.99,"5,7000","2,48",4.458,Black,11.429,40.0
Corsair Vengeance LPX 16 GB,91.99,"4,3600","2,8",5.749,Black,10.0,18.0
Lexar THOR 32 GB,,"4,3200","2,16",,Black,10.0,16.0
Corsair Vengeance RGB Pro 16 GB,97.91,"4,3200","2,8",6.119,White,10.0,16.0
Patriot Viper Venom 16 GB,52.99,"5,5200","2,8",3.312,Black / White,13.846,36.0
G.Skill Trident Z5 Royal 64 GB,259.99,"5,6400","2,32",4.062,Silver,10.0,32.0
Crucial Pro 64 GB,125.99,"4,3200","2,32",1.969,Black / Green,13.75,22.0
Corsair Dominator Titanium 96 GB,419.99,"5,6600","2,48",4.375,White,9.697,32.0
ADATA XPG Lancer Blade RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,10.0,30.0
Corsair Vengeance RGB 128 GB,389.99,"5,6400","2,64",,Black,13.125,42.0
Corsair Vengeance RGB 32 GB,144.99,"5,6000","2,16",4.531,White / Silver,10.0,30.0
Patriot Signature Line 32 GB,71.98,"5,4800","2,16",2.249,Black,16.667,40.0
Crucial CT2K16G48C40U5 32 GB,73.98,"5,4800","2,16",2.312,Black,16.667,40.0
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"5,6000","2,48",4.323,Black,9.333,28.0
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"5,6000","2,16",2.812,White,12.667,38.0
Crucial Pro Overclocking 64 GB,199.99,"5,6400","2,32",3.125,Black,12.5,40.0
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"5,6000","2,32",3.984,Black,9.333,28.0
Corsair Vengeance RGB Pro 32 GB,82.99,"4,3200","2,16",2.593,Black,10.0,16.0
G.Skill Flare X5 16 GB,,"5,6000","1,16",,Black,12.0,36.0
Corsair Vengeance 96 GB,324.99,"5,6000","2,48",3.385,Black / Silver,10.0,30.0
Corsair Vengeance LPX 8 GB,36.99,"4,2400","1,8",4.624,Black / Yellow,13.333,16.0
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"5,6000","2,32",2.578,Black,10.0,30.0
Lexar Ares RGB 32 GB,114.99,"5,6000","2,16",3.593,Black,10.0,30.0
Crucial CT2K8G4DFRA32A 16 GB,56.54,"4,3200","2,8",3.534,Green,13.75,22.0
Corsair Dominator Titanium 32 GB,179.99,"5,6000","2,16",5.625,Black,10.0,30.0
Crucial CT8G4DFS824A 8 GB,19.98,"4,2400","1,8",2.498,Green,14.167,17.0
Kingston HyperX Fury 16 GB,,"4,3200","2,8",,Black / Silver,10.0,16.0
Timetec PINNACLE Konduit 32 GB,59.99,"4,3200","2,16",1.875,White,10.0,16.0
Kingston FURY Beast RGB 64 GB,244.99,"5,6000","2,32",3.828,Black,10.0,30.0
Corsair Vengeance RGB 64 GB,217.99,"5,6000","2,32",3.406,Black,10.0,30.0
Corsair Vengeance 192 GB,614.99,"5,5200","4,48",3.203,Black,14.615,38.0
G.Skill Trident Z5 RGB 64 GB,254.99,"5,6800","2,32",3.984,Black,10.0,34.0
TEAMGROUP T-Force Vulcan 32 GB,82.99,"5,6000","2,16",2.593,Black,12.667,38.0
G.Skill Trident Z5 Neo 32 GB,116.99,"5,6000","2,16",3.656,Black,10.0,30.0
G.Skill Aegis 16 GB,44.99,"4,3200","2,8",2.812,Red / Black,10.0,16.0
PNY XLR8 32 GB,59.99,"4,3600","2,16",1.875,Black,10.0,18.0
TEAMGROUP Elite 16 GB,28.99,"4,2666","2,8",1.812,Black,14.254,19.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,99.99,"5,6000","2,16",3.125,Black,10.0,30.0
G.Skill Ripjaws S5 32 GB,89.99,"5,6000","2,16",2.812,Black,12.0,36.0
OLOy ND4U1632161DJ0DA 32 GB,69.99,"4,3200","2,16",2.187,Black,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,142.99,"4,3200","2,16",4.468,White,10.0,16.0
ADATA XPG Lancer Blade 32 GB,152.21,"5,6000","2,16",4.757,Black,10.0,30.0
G.Skill Ripjaws V 32 GB,73.98,"4,3600","2,16",2.312,Black,10.0,18.0
Crucial Pro 64 GB,171.34,"5,6000","2,32",2.677,Black,13.333,40.0
Silicon Power XPOWER Turbine 16 GB,33.97,"4,3200","2,8",2.123,Blue,10.0,16.0
G.Skill Trident Z5 Royal Neo RGB 64 GB,259.99,"5,6000","2,32",4.062,Silver,10.0,30.0
Crucial CT16G48C40U5 16 GB,38.86,"5,4800","1,16",2.429,Black,16.667,40.0
Patriot Viper Steel 64 GB,164.99,"4,3600","2,32",2.578,Silver / Black,10.0,18.0
G.Skill Trident Z5 Neo RGB 32 GB,134.99,"5,6400","2,16",4.218,Black,9.375,30.0
Klevv FIT V 32 GB,84.99,"5,6000","2,16",2.656,White,10.667,32.0
TEAMGROUP T-Create Expert 32 GB,72.99,"5,6000","2,16",2.281,White,12.667,38.0
G.Skill Trident Z5 Neo RGB 32 GB,,"5,6000","2,16",,Black,8.667,26.0
Kingston FURY Beast RGB 16 GB,75.98,"5,6000","2,8",4.749,Black,12.0,36.0
Corsair Vengeance RGB 96 GB,349.99,"5,6000","2,48",3.646,Black / Silver,10.0,30.0
Corsair Vengeance RGB 32 GB,194.99,"5,8000","2,16",6.093,Black / Gray,9.0,36.0
Corsair Vengeance LPX 32 GB,160.99,"4,3600","2,16",5.031,Black / Yellow,10.0,18.0
Patriot Viper Xtreme 5 32 GB,134.99,"5,8200","2,16",4.218,Black,9.268,38.0
TEAMGROUP T-Force Delta RGB 32 GB,136.69,"4,3600","2,16",4.272,Black,10.0,18.0
G.Skill Trident Z Neo 32 GB,99.99,"4,3600","2,16",3.125,Black / Silver,8.889,16.0
Patriot Viper Venom RGB 32 GB,90.99,"5,6000","2,16",2.843,Black / Silver,10.0,30.0
Kingston FURY Beast 128 GB,402.99,"5,5600","4,32",3.148,White,14.286,40.0
Corsair Vengeance 48 GB,179.99,"5,6000","2,24",3.75,Black / Gray,10.0,30.0
Kingston FURY Beast 16 GB,64.99,"5,5600","2,8",4.062,Black / Silver,12.857,36.0
G.Skill Trident Z5 Royal Neo RGB 96 GB,449.99,"5,6000","2,48",4.687,Silver,9.333,28.0
TEAMGROUP T-Force Delta RGB 32 GB,107.99,"5,6400","2,16",3.375,Black,10.0,32.0
G.Skill Ripjaws S5 96 GB,284.99,"5,6400","2,48",2.969,Black,10.0,32.0
TEAMGROUP T-Force Delta RGB 32 GB,74.94,"4,3200","2,16",2.342,Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,95.98,"5,6000","2,16",2.999,Black,12.0,36.0
Silicon Power SP016GBLFU320B22 16 GB,39.97,"4,3200","2,8",2.498,,13.75,22.0
G.Skill Ripjaws S5 32 GB,99.99,"5,5600","2,16",3.125,Black,10.0,28.0
Corsair Vengeance LPX 64 GB,128.99,"4,3600","2,32",2.015,Black,10.0,18.0
Patriot Viper Venom 32 GB,114.99,"5,7000","2,16",3.593,Black / White,9.143,32.0
G.Skill Aegis 32 GB,69.98,"4,3200","2,16",2.187,Red / Black,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,89.99,"5,6400","2,16",2.812,Black,10.0,32.0
Kingston FURY Beast RGB 64 GB,239.99,"5,6000","2,32",3.75,White,10.0,30.0
G.Skill Trident Z5 Neo RGB 96 GB,,"5,6000","2,48",,Black,8.667,26.0
Lexar THOR OC 32 GB,104.99,"5,6000","2,16",3.281,Black / Gold,10.667,32.0
Silicon Power XPOWER Zenith RGB Gaming 64 GB,169.99,"5,6000","2,32",2.656,White,10.0,30.0
Corsair Vengeance 64 GB,219.99,"5,6000","2,32",3.437,Black / Gray,10.0,30.0
TEAMGROUP T-Create Expert 64 GB,176.99,"5,6000","2,32",2.765,Black,11.333,34.0
Kingston FURY Beast 128 GB,339.99,"5,5600","2,64",2.656,Black,12.857,36.0
Patriot Viper Venom 16 GB,49.99,"5,6400","2,8",3.124,Black / Red,10.0,32.0
G.Skill Trident Z5 RGB 64 GB,159.99,"5,6000","2,32",2.5,Black,12.0,36.0
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,White,10.0,30.0
Patriot Viper Venom 16 GB,48.99,"5,6000","1,16",3.062,Black / White,10.0,30.0
Corsair Vengeance RGB 64 GB,244.99,"5,6400","2,32",3.828,Black / Gray,10.0,32.0
Kingston KHX8500D2K2/4GR 4 GB,,"2,1066","2,2",,Blue,9.381,5.0
Corsair Vengeance 64 GB,149.99,"5,5600","2,32",2.344,Black,14.286,40.0
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3600","2,16",,Black,10.0,18.0
G.Skill Trident Z RGB 32 GB,105.53,"4,3200","2,16",3.298,Black,10.0,16.0
Kingston KCP424NS6/4 4 GB,9.99,"4,2400","1,4",2.498,Green / Black,14.167,17.0
G.Skill Trident Z5 Royal 48 GB,279.99,"5,8400","2,24",5.833,Silver,9.524,40.0
Corsair Vengeance LPX 32 GB,85.88,"4,3600","2,16",2.684,Black / Yellow,8.889,16.0
G.Skill Trident Z5 RGB 48 GB,214.99,"5,8000","2,24",4.479,Black,10.0,40.0
Corsair Vengeance 128 GB,540.99,"5,5600","4,32",4.226,Black,14.286,40.0
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16.0
Kingston FURY Beast RGB 128 GB,399.99,"5,5200","4,32",3.125,Black,15.385,40.0
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",3.281,Black,10.667,32.0
TEAMGROUP Elite 32 GB,78.98,"4,3200","2,16",2.468,Black,13.75,22.0
ADATA XPG SPECTRIX D35G RGB 16 GB,54.99,"4,3200","2,8",3.437,Black,10.0,16.0
Crucial Pro 32 GB,94.99,"5,6400","2,16",2.968,White,11.875,38.0
G.Skill Trident Z RGB 64 GB,149.99,"4,3600","2,32",2.344,Black,10.0,18.0
Patriot Viper Venom 64 GB,159.99,"5,6000","2,32",2.5,Black / White,12.0,36.0
Corsair Vengeance RGB 32 GB,121.99,"5,6000","2,16",3.812,White,13.333,40.0
Crucial CT51264BA160B 4 GB,10.29,"3,1600","1,4",2.572,Green,13.75,11.0
Corsair Vengeance LPX 16 GB,85.99,"4,3000","2,8",5.374,Black / Yellow,10.0,15.0
Silicon Power XPOWER Turbine 32 GB,60.99,"4,3200","2,16",1.906,Blue,10.0,16.0
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"5,6000","2,8",4.874,White,12.667,38.0
Corsair Dominator Titanium 64 GB,319.99,"5,6000","2,32",5.0,Black,10.0,30.0
G.Skill Flare X5 96 GB,184.99,"5,5200","2,48",1.927,Black,15.385,40.0
Klevv BOLT V 32 GB,93.99,"5,6000","2,16",2.937,Black,10.0,30.0
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,117.99,"5,6400","2,16",3.687,Black / Gray,10.0,32.0
Corsair Vengeance 32 GB,135.99,"5,6000","2,16",4.25,Black,9.333,28.0
TEAMGROUP Vulcan Z 16 GB,42.99,"4,3600","2,8",2.687,Black,10.0,18.0
Silicon Power GAMING 16 GB,37.97,"4,3600","2,8",2.373,Gray / Silver,10.0,18.0
TEAMGROUP T-Create Expert 96 GB,291.99,"5,6400","2,48",3.042,Black / Gold,10.0,32.0
Corsair Vengeance RGB Pro 32 GB,,"4,4266","4,8",,Black,8.908,19.0
G.Skill Ripjaws S5 32 GB,84.99,"5,5200","2,16",2.656,Black,15.385,40.0
Corsair Vengeance RGB 64 GB,184.99,"5,6000","2,32",2.89,Black,13.333,40.0
TEAMGROUP T-Create Expert 32 GB,110.99,"5,7200","2,16",3.468,Black,9.444,34.0
Corsair Vengeance 96 GB,329.99,"5,6400","2,48",3.437,Black,10.0,32.0
Patriot Signature Line 16 GB,34.99,"5,4800","1,16",2.187,Black,16.667,40.0
Corsair Vengeance RGB 64 GB,277.99,"5,6400","2,32",4.344,White,10.0,32.0
Crucial CT2K64G56C46U5 128 GB,279.99,"5,5600","2,64",2.187,Black,16.429,46.0
Kingston FURY Beast RGB 128 GB,349.99,"5,5600","2,64",2.734,Black,12.857,36.0
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22.0
Corsair Vengeance RGB Pro 32 GB,128.99,"4,3200","4,8",4.031,Black,10.0,16.0
G.Skill Trident Z5 Neo RGB 48 GB,,"5,6000","2,24",,Black,8.667,26.0
G.Skill Ripjaws M5 RGB 32 GB,114.99,"5,6000","2,16",3.593,White,10.0,30.0
Kingston FURY Beast 16 GB,74.54,"4,3200","1,16",4.659,Black,10.0,16.0
G.Skill Flare X5 96 GB,329.99,"5,6000","2,48",3.437,Black,10.0,30.0
Kingston FURY Beast 32 GB,93.99,"5,5200","2,16",2.937,Black / Silver,15.385,40.0
Patriot Viper Venom 32 GB,83.99,"5,5600","2,16",2.625,Black / White,12.857,36.0
Silicon Power XPOWER Storm RGB 32 GB,94.97,"5,6400","2,16",2.968,Black,10.0,32.0
Corsair Vengeance LPX 16 GB,48.99,"4,3600","2,8",3.062,Black / Yellow,8.889,16.0
Corsair Dominator Platinum RGB 64 GB,377.99,"5,6600","4,16",5.906,Black,9.697,32.0
Silicon Power XPOWER Storm RGB 32 GB,85.99,"5,6000","2,16",2.687,White,12.0,36.0
TEAMGROUP Elite 16 GB,48.99,"4,3200","2,8",3.062,Black,13.75,22.0
Klevv BOLT X 32 GB,80.98,"4,3600","2,16",2.531,Black,10.0,18.0
Crucial Classic 64 GB,130.99,"5,5600","2,32",2.047,Black,16.429,46.0
TEAMGROUP T-Create Expert 16 GB,45.99,"4,3200","2,8",2.874,Gray,10.0,16.0
Klevv BOLT X 16 GB,47.99,"4,3600","2,8",2.999,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,,"4,3200","2,16",,White,10.0,16.0
Corsair Vengeance 32 GB,94.99,"5,4800","2,16",2.968,Black,16.667,40.0
G.Skill Aegis 16 GB,36.99,"4,3000","2,8",2.312,Black / Red,10.667,16.0
TEAMGROUP Elite 32 GB,75.98,"5,5600","2,16",2.374,Black,16.429,46.0
Corsair Vengeance 32 GB,89.99,"5,5600","2,16",2.812,Black / Gray,14.286,40.0
Patriot Viper Venom RGB 32 GB,84.99,"5,6000","2,16",2.656,Black / White,12.0,36.0
Timetec PINNACLE Konduit 16 GB,33.99,"4,3600","2,8",2.124,White,10.0,18.0
Patriot Viper 4 Blackout 64 GB,1203.86,"4,3000","2,32",18.81,Black,10.667,16.0
Crucial CT64G4YFQ426S 64 GB,649.95,"4,2666","1,64",10.155,Green / Black,14.254,19.0
G.Skill Ripjaws S5 64 GB,192.99,"5,6000","2,32",3.015,Black,10.0,30.0
Crucial Ballistix 16 GB,,"4,3200","2,8",,Black,10.0,16.0
Crucial CT64G56C46U5 64 GB,156.99,"5,5600","1,64",2.453,Black,16.429,46.0
TEAMGROUP T-Force DELTAα RGB 16 GB,69.99,"5,6000","2,8",4.374,White,12.667,38.0
G.Skill Ripjaws V 32 GB,99.99,"4,4000","2,16",3.125,Black,9.0,18.0
Klevv KD5AGU880-56K300F 32 GB,80.98,"5,5600","2,16",2.531,White,10.714,30.0
Crucial CT8G48C40U5 8 GB,24.98,"5,4800","1,8",3.123,Black,16.667,40.0
Acer Predator Vesta II RGB 32 GB,143.8,"5,6000","2,16",4.494,Black,10.0,30.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,67.99,"4,3600","2,16",2.125,Black,10.0,18.0
Kingston FURY Beast RGB 32 GB,160.05,"4,3600","2,16",5.002,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,6000","2,16",3.906,Black,9.333,28.0
Corsair Vengeance 96 GB,354.99,"5,6000","2,48",3.698,Black,10.0,30.0
Lexar Ares RGB 32 GB,117.99,"5,6400","2,16",3.687,Black / Silver,10.0,32.0
G.Skill Flare X5 128 GB,399.99,"5,6000","2,64",3.125,Black,11.333,34.0
Crucial Pro 96 GB,209.99,"5,5600","2,48",2.187,Black,16.429,46.0
Corsair Vengeance RGB Pro 16 GB,103.99,"4,3600","2,8",6.499,Black,10.0,18.0
G.Skill Trident Z5 RGB 96 GB,339.99,"5,6800","2,48",3.542,Black,10.0,34.0
PNY XLR8 16 GB,31.99,"4,3200","2,8",1.999,Black / Red,10.0,16.0
Corsair Vengeance 64 GB,,"5,6800","2,32",,Black / Gray,9.412,32.0
Patriot Viper Steel 16 GB,51.99,"4,3600","2,8",3.249,Silver / Black,9.444,17.0
Crucial CT2K8G4DFS824A 16 GB,31.35,"4,2400","2,8",1.959,Green / Black,14.167,17.0
Kingston FURY Beast RGB 64 GB,496.01,"5,6400","2,32",7.75,Black,10.0,32.0
TEAMGROUP T-Force Delta RGB 16 GB,49.99,"4,3200","2,8",3.124,White,10.0,16.0
TEAMGROUP T-Create Expert 48 GB,145.99,"5,6400","2,24",3.041,Black / Gold,10.0,32.0
Crucial Classic 8 GB,21.99,"5,5600","1,8",2.749,Black,16.429,46.0
Corsair Vengeance LPX 256 GB,703.75,"4,3200","8,32",2.749,Black / Yellow,10.0,16.0
Crucial CT8G4DFRA32A 8 GB,25.72,"4,3200","1,8",3.215,Green,13.75,22.0
G.Skill Trident Z5 Neo RGB 64 GB,349.99,"5,6000","2,32",5.469,White / Black,8.667,26.0
Klevv CRAS V RGB 32 GB,,"5,6000","2,16",,Black,10.0,30.0
G.Skill Trident Z RGB 32 GB,79.0,"4,3200","4,8",2.469,Black,10.0,16.0
GOODRAM IRDM 32 GB,,"5,6000","2,16",,Black,10.0,30.0
Patriot Viper 3 16 GB,25.99,"3,1866","2,8",1.624,Black / Silver,10.718,10.0
Patriot Viper Venom 32 GB,94.99,"5,6000","1,32",2.968,Black / White,10.0,30.0
Corsair Dominator Titanium 64 GB,377.99,"5,6400","4,16",5.906,White,10.0,32.0
Corsair Dominator Platinum RGB 32 GB,172.99,"5,6200","2,16",5.406,Black,11.613,36.0
